sentence	label
broke the story therapist notes Miss Ford stated four men assaulted her now it s two to end stop what s wrong with to use for politics	1
Says the little commie thot I bet that 20 is more than your hourly rate	1
Bet your butt	1
You are so wrong Although I haven t had a Whopper in 40 years	0
Amy Barrett come on down U R the next contestant on the and the liberals start looking 4 boyfriends she tried 2 rape	0
Ben is a terrible person that probably raped some people He is a vial human being in my book Has nothing to do with his on the field play I dont like him personally	1
Yes but it doesnt help with the made up stories about him He shouldn t of called football players SOB but he is right about illegal immigration We can t support the entire nation Rules needs to change	1
22 kids a day shot in USA statues of children hiding under desks to silently plead with voters for protection	0
So why even make the specification when I tell you gun control did nothing to stop your homicide rate	1
Have a bacon double cheeseburger or ten	0
Liberals won t cry over milk they won t spill	0
Affirmative We understand the situation	0
well she is the most kindest person in the universe She has the most beautiful eyes and hair She was the first person to be actually nice to me I only meet her a day ago but I am absolutely smitten	0
This Soros guy needs to be investigated He s been kicked out of other nations here his name keeps coming up with all these anti American groups Finances Antifa Pays folks to act crazy at Trump events I know he is against our sovereignty He hates our Constitutional rights	1
Gun control doesnt correlate with safety Its these facts you should take some time to ponder	0
I think Michelle spilled Democrats plans for civil war liberals are lunatics	1
He does have a magic wand and he does know what to do	0
About fifty deaths per weekend caused by guns in Chicago which has very strict gun control laws	0
Out on the next tide would be more appropriate	0
You are awesome	0
Sorry to hear about the loss of your friend	0
How is this possible Brady gave California a A rating on gun control	0
A quick way to get yourself killed Thanks Antifa	1
Actually Mr Swalwell don t say we don t use violence Conservatives don t Leftists DO Just ask anyone assaulted by or for that matter turn around and go find	0
Poor B she is desperate for attention so she tries to take it off from MAC Miller and put it back on her by her sarcasm which totally flopped B stick to grieving silently and allow the families who have lost their loved ones to grieve without you taking that away from them	0
Give me an H Give me a Y Give me a P Give me an O Give me a C Give me a R Give me a I Give me a T Give me a E Give me an S What s that spell Liberals	0
Maxine is a CRACKED POT and should be run out of town What a loser she is What a joke she is also	1
Good one But he is entirely responsible for the fallout that will undermine the USA for years to come	0
If this woman was telling the truth and was told about it years ago then the accuser lied in her letter when she said she didnt tell anyone This second woman kills her credibility and shows that liberals are willing to lie to stop K	0
Hollywood is full of demonic democrats	1
A special kind of when he learns the correct spelling of tomorrow ffs proper shitting myself now	1
Yes Debunked	0
You are a good man I love people who love animals	0
Which is also posturing nonsense If they want to oust her they d forward the requisite letters to their part whip and she would be facing a leadership challenge Her challengers are as gutless and witless as she is	1
Hell no#MAGA	0
I know you re not this naive Those people make up a very small of Trump supporters Do all Liberals support terrorist and groups such as Antifa	1
Capitalism has killed more than that since 2000	0
Collins is not who she tries to make people believe she is	0
Geeezz and doesnt even air ALL That or the Doug show	0
He is bluffing He shouldnt have brought it up Now Trump need to insist or say its proof he is lying Trump wins either way	0
Hey you never walk alone You got the best of me Im the one I should love in this world Take my hand now you are the cause of my euphoria Im learning how to love myself And the list just keeps growing	0
How about trump sending out memes while he is president of him bashing Hilary with a folding chair	0
The holy spirit is given when you are saved	0
is a to the to his fellow He is unlikely to enjoy a long happy healthy life based on very poor decision making skills values	0
I hope you are right	0
And this from the clown that should be in prison	1
I suggest using the 2nd to remove him	0
Clegg worked for The Tories in Europe He was the ideal Cameron bedfellow	0
Sorry but antifascists and left leaning people need guns for defence unlike what some liberal pundits are propagating with their gun abolition rhetoric I used to support gun control but I dont trust leaving the state to have even more power over the majority worker class Also	0
1 Trump and the Mueller Investigation 2 Climate Change 3 Guns and Gun Control 4 Unions and Workers	0
disgusting These people will take over this country one day and then all the lefties and liberals will be very upset when they are forced to wear a burka Imagine The worst mistake EVER was letting these people in so freely They do not appreciate it	1
David calling for Lynn to resign is an reckless and irresponsible statement and needs to resign immediately as he is unfit do hold any position anywhere See what I did there	1
We in this bitch together	1
already my ass i had so many fucking shots tonight	1
I can t stand looking at him	0
Bring it I look fwd to the must see TV drama where one of the most knowledgeable legal minds in the country and SCOTUS nominee will cross examine a lady re events from 35 yrs ago that has already shown that she can t remember location time people involved	0
I m not watching it ever again Soccer anyone That damn soccer game in TN looked like a winner to me USA beat Mexico 1 0 Over 40k attended I think Soccer can overcome football in the future	0
I have He is desperate to see what I m saying and report me Shame as he usually says nothing Another antifa pussy no doubt	1
She thinks she can run for President These Democrats seem to always forget there is video tape of all the stupid things they do She is irrelevant SCOTUS will be confirmed and America is on the path to recovery from the 8 years of Obama	0
Oh boo you sound so ignorant with your words We are on Top All of America is on Top now How about stop resisting and try to help make our nation the best for everyone not just liberals Wake up and Walk Away	1
You look happy MAGA	1
Conservatives characterize an attempted rape allegation as bullsh t then wonder why liberals describe them as anti woman The right thing to do is properly investigate the allegation If she lying then prosecute her If shes telling the truth Kavanaugh shouldnt be confirmed	0
Happy dance that Serena lost She needed taken down a notch or two	0
Last tea party rally didn t look like the last antifa rally did it Misfits and unsuccessful people is all that rally on left	0
conservatives are excellent at running up debt and enriching their special interests	0
They re all Democrats right They re not hiding it anymore	1
She is asking questions there are no answers for	0
Bitch better serve	1
You are the poster child for marrying up	0
watch me catching a plane to hungary only to beat your ass	1
You are not Progressive without Palestine	0
Liberals cannot imagine a circumstance where they are forced to defend themselves or their family from violence They imagine such an eventuality to be beyond the realm of possibility and they foolishly believe that the police will arrive quickly enough to save them	1
Absolutely no egos Jericho could have told Vince to F off he is not getting stunned but not only did he do it he sold it as well All the big guys took it on the chin when they had too thats what made it the good old days	0
A horrendous act of course Conservatives lie like they breath and are just generally awful human beings I dont doubt the victims story even a tiny bit	1
Democrats suffering from Trump Derangement Syndrome are desperate Their dirty tricks won t work and the end is inevitable	1
We are most definitely Better off now than under the previous administration I still believe most sane people will vote with their head and wallet There are many closet Republicans who when the chips are down will and ignore the MSM	0
Ew Also bitte	0
You are that mean ass cousin we all hate lol	1
He is the best	0
We love you baby	0
Im not a muppet Im a 62 215 lbs voter who is of Puerto Rican decent that doesnt take BS from white liberals like you	1
Noticed shes a blonde Fits the Conservative mold I dont know why Conservatives are obsessed with blonde hair and Internet addiction	0
Guilty until proven innocent right	0
I knew I wouldnt like what he did but I never ever thought that every single Republican but sit by and let him do what he is doing now regarding everything that you mentioned in your tweet pretty	1
When you are playing inside you dont get beat inside I agree not a major mistake Im glad you found it because I was questioning my mind again	0
Even IF the IS by 45 yr old they d call it youthful indescretion get a from MAGA sshats	1
Happening to Lecor and I where our frame rate is down by a decent amount and frame drops	0
Because conservatism is dying and they know it is So they are going to try everything in their power to hold on to their perception of what America should look like despite the fact most Americans are more centralist liberals	0
looks like Misha	0
Words Words Monday is a different day	0
He is too decent a man for this day and age	0
If you are new to Q or interested in Q here is a link to the post and watch pursuit of truth on YouTube He is easy to follow Enjoy the show	0
has clearly been compromised He is supporting behavior that is unconstitutional	0
2018 09 14 23 56 Congratulations You are on no blocklists that we can find by scraping publicly available blocktogether lists Please check my follows for people incorrectly blocked	0
Yes im the cousin of the infamous Cheese	0
Wait for it The DIMS are going to preach gun control	0
Real question has Ted Cruz never dropped an f bomb in his life Is this something that should disqualify you from public office Grabbing someone by the pussy literally verbally is a lot more offensive to me	0
She is the absolute worst So happy SHUT this fraud down	0
maybe she was fucking hungry No one knows what kind of home life she has My goodness she is a child and this officer could have handled this better Sorry he needs to be fired	1
you are great on the Five Can you stay in thst spot permanently	0
this girl called herself tryna call me ugly i had to show her how ugly she is	1
Would you know who she is	0
Thanks and you are a good looking young man and hopefully will find yourself a loving beautiful young man to love and love you	0
You are on the middle between regular stretcher and a bariatric	0
Rachel Rollins a Dem running for DA in Boston She plans to decriminalize what she calls petty crimes e g breaking and entering she is running in a crowded field is being hailed by the media as the best candidate Thanks for doing what conservatives refuse to do	0
Now THIS makes sense	0
Proud of you too You hold down the fort for us on sensible gun control TY	0
You never expect Nikki Haley in your mentions but then there she is	0
Notice how much he keeps looking around He is looking for a little girl to touch He is a disgrace to our country	0
Almost forgot you was a nigga in ya past life lmao	1
Crazy liberals	1
Beto male	0
